"run_id","timestamp_jst","attempt","symbols","ok_count","fail_count","fail_reason","planned_sleep_sec"
"20260123T011612Z_gha21270977753_a1","2026-01-23 10:16:13","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_035301Z_132154","2026-01-23 12:53:02","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_035627Z_718382","2026-01-23 12:56:28","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_035714Z_667517","2026-01-23 12:57:15","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_035911Z_350209","2026-01-23 12:59:12","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_040015Z_753350","2026-01-23 13:00:15","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_040144Z_343876","2026-01-23 13:01:46","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_040401Z_692107","2026-01-23 13:04:03","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_040620Z_983281","2026-01-23 13:06:21","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_050501Z_355068","2026-01-23 14:05:02","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_055634Z_875780","2026-01-23 14:56:34","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_070249Z_641188","2026-01-23 16:02:50","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_075128Z_692283","2026-01-23 16:51:29","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_085958Z_503080","2026-01-23 17:59:59","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_095435Z_496486","2026-01-23 18:54:36","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_105457Z_742464","2026-01-23 19:54:58","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_113945Z_583913","2026-01-23 20:39:46","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_135536Z_405815","2026-01-23 22:55:37","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_145623Z_764599","2026-01-23 23:56:24","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_155239Z_268953","2026-01-24 00:52:40","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_170149Z_951273","2026-01-24 02:01:50","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_175318Z_145113","2026-01-24 02:53:20","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_190232Z_891144","2026-01-24 04:02:33","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_194620Z_748445","2026-01-24 04:46:20","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_204953Z_715791","2026-01-24 05:49:54","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_213940Z_252317","2026-01-24 06:39:41","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_224229Z_123329","2026-01-24 07:42:30","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_233933Z_561087","2026-01-24 08:39:35","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_035256Z_995549","2026-01-24 12:52:58","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_045832Z_764016","2026-01-24 13:58:33","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_054403Z_698298","2026-01-24 14:44:04","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_065711Z_327618","2026-01-24 15:57:12","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_073445Z_221698","2026-01-24 16:34:46","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_085242Z_446010","2026-01-24 17:52:44","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_093912Z_794918","2026-01-24 18:39:13","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_104418Z_802283","2026-01-24 19:44:19","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_113118Z_763300","2026-01-24 20:31:19","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_134111Z_395962","2026-01-24 22:41:12","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_144123Z_404695","2026-01-24 23:41:24","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_153802Z_542303","2026-01-25 00:38:03","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_165025Z_202982","2026-01-25 01:50:26","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_173832Z_729130","2026-01-25 02:38:32","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_185538Z_230395","2026-01-25 03:55:39","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_192924Z_759247","2026-01-25 04:29:25","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_194319Z_275138","2026-01-25 04:43:21","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_203940Z_297485","2026-01-25 05:39:40","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_213303Z_944224","2026-01-25 06:33:04","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_224127Z_784528","2026-01-25 07:41:29","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260124_233425Z_487750","2026-01-25 08:34:26","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_042112Z_615286","2026-01-25 13:21:14","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_054650Z_938279","2026-01-25 14:46:51","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_065844Z_539470","2026-01-25 15:58:45","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_073853Z_634724","2026-01-25 16:38:54","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_085304Z_693878","2026-01-25 17:53:05","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_094021Z_374884","2026-01-25 18:40:23","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_104616Z_654880","2026-01-25 19:46:17","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_113132Z_541087","2026-01-25 20:31:34","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_134436Z_793071","2026-01-25 22:44:36","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_144114Z_801965","2026-01-25 23:41:15","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_153905Z_588609","2026-01-26 00:39:05","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_165213Z_960046","2026-01-26 01:52:14","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_173905Z_753863","2026-01-26 02:39:06","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_185506Z_918439","2026-01-26 03:55:08","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_193026Z_200278","2026-01-26 04:30:27","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_204418Z_161008","2026-01-26 05:44:19","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_213429Z_664116","2026-01-26 06:34:30","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_224344Z_164038","2026-01-26 07:43:45","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260125_233816Z_475103","2026-01-26 08:38:17","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
